Year          Month         Day         NAM @ 50 hPa [std]
=====================================================
1950              1            1          -1.498
1950              1            2          -1.371
1950              1            3          -1.202
1950              1            4          -1.020
1950              1            5          -0.803
1950              1            6          -0.690
1950              1            7          -0.695
1950              1            8          -0.804
1950              1            9          -1.029
1950              1           10          -1.232
1950              1           11          -1.323
1950              1           12          -1.350
1950              1           13          -1.184
1950              1           14          -0.949
1950              1           15          -0.820
1950              1           16          -0.776
1950              1           17          -0.744
1950              1           18          -0.817
1950              1           19          -0.910
1950              1           20          -0.840
1950              1           21          -0.715
1950              1           22          -0.609
1950              1           23          -0.564
1950              1           24          -0.527
1950              1           25          -0.577
1950              1           26          -0.588
1950              1           27          -0.595
1950              1           28          -0.709
1950              1           29          -0.946
1950              1           30          -1.155
1950              1           31          -1.295
1950              2            1          -1.327
1950              2            2          -1.276
1950              2            3          -1.170
1950              2            4          -1.055
1950              2            5          -0.927
1950              2            6          -0.793
1950              2            7          -0.727
1950              2            8          -0.686
1950              2            9          -0.570
1950              2           10          -0.425
1950              2           11          -0.303
1950              2           12          -0.196
1950              2           13          -0.138
1950              2           14          -0.090
1950              2           15          -0.044
1950              2           16           0.016
1950              2           17           0.104
1950              2           18           0.232
1950              2           19           0.355
1950              2           20           0.421
1950              2           21           0.397
1950              2           22           0.311
1950              2           23           0.208
1950              2           24           0.169
1950              2           25           0.200
1950              2           26           0.269
1950              2           27           0.311
1950              2           28           0.286
1950              3            1           0.258
1950              3            2           0.139
1950              3            3          -0.044
1950              3            4          -0.179
1950              3            5          -0.320
1950              3            6          -0.415
1950              3            7          -0.491
1950              3            8          -0.473
1950              3            9          -0.483
1950              3           10          -0.621
1950              3           11          -0.871
1950              3           12          -1.116
1950              3           13          -1.315
1950              3           14          -1.387
1950              3           15          -1.288
1950              3           16          -1.065
1950              3           17          -0.791
1950              3           18          -0.529
1950              3           19          -0.264
1950              3           20          -0.061
1950              3           21           0.047
1950              3           22           0.126
1950              3           23           0.171
1950              3           24           0.182
1950              3           25           0.169
1950              3           26           0.101
1950              3           27          -0.107
1950              3           28          -0.384
1950              3           29          -0.563
1950              3           30          -0.639
1950              3           31          -0.647
1950              4            1          -0.614
1950              4            2          -0.558
1950              4            3          -0.522
1950              4            4          -0.532
1950              4            5          -0.612
1950              4            6          -0.792
1950              4            7          -0.943
1950              4            8          -1.059
1950              4            9          -1.262
1950              4           10          -1.446
1950              4           11          -1.490
1950              4           12          -1.526
1950              4           13          -1.459
1950              4           14          -1.345
1950              4           15          -1.162
1950              4           16          -1.049
1950              4           17          -1.003
1950              4           18          -1.024
1950              4           19          -1.013
1950              4           20          -0.935
1950              4           21          -0.911
1950              4           22          -0.958
1950              4           23          -0.995
1950              4           24          -1.035
1950              4           25          -1.038
1950              4           26          -1.071
1950              4           27          -1.083
1950              4           28          -0.998
1950              4           29          -0.807
1950              4           30          -0.682
1950              5            1          -0.593
1950              5            2          -0.486
1950              5            3          -0.414
1950              5            4          -0.343
1950              5            5          -0.443
1950              5            6          -0.657
1950              5            7          -0.687
1950              5            8          -0.621
1950              5            9          -0.623
1950              5           10          -0.569
1950              5           11          -0.546
1950              5           12          -0.529
1950              5           13          -0.527
1950              5           14          -0.485
1950              5           15          -0.508
1950              5           16          -0.547
1950              5           17          -0.473
1950              5           18          -0.312
1950              5           19          -0.227
1950              5           20          -0.105
1950              5           21           0.023
1950              5           22           0.141
1950              5           23           0.164
1950              5           24           0.141
1950              5           25           0.157
1950              5           26           0.399
1950              5           27           0.755
1950              5           28           0.967
1950              5           29           0.963
1950              5           30           0.914
1950              5           31           0.823
1950              6            1           0.831
1950              6            2           0.746
1950              6            3           0.728
1950              6            4           0.828
1950              6            5           0.932
1950              6            6           1.087
1950              6            7           1.265
1950              6            8           1.529
1950              6            9           1.647
1950              6           10           1.596
1950              6           11           1.525
1950              6           12           1.150
1950              6           13           0.737
1950              6           14           0.361
1950              6           15           0.243
1950              6           16           0.439
1950              6           17           0.285
1950              6           18           0.054
1950              6           19          -0.221
1950              6           20          -0.352
1950              6           21          -0.155
1950              6           22          -0.110
1950              6           23          -0.228
1950              6           24          -0.295
1950              6           25          -0.356
1950              6           26          -0.336
1950              6           27           0.025
1950              6           28           0.146
1950              6           29           0.180
1950              6           30           0.059
1950              7            1           0.123
1950              7            2           0.344
1950              7            3           0.648
1950              7            4           0.937
1950              7            5           0.938
1950              7            6           0.820
1950              7            7           0.932
1950              7            8           0.916
1950              7            9           1.126
1950              7           10           1.554
1950              7           11           1.754
1950              7           12           1.742
1950              7           13           1.628
1950              7           14           1.622
1950              7           15           1.287
1950              7           16           1.026
1950              7           17           1.141
1950              7           18           1.301
1950              7           19           1.428
1950              7           20           1.433
1950              7           21           1.620
1950              7           22           1.993
1950              7           23           2.279
1950              7           24           2.394
1950              7           25           2.217
